sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns
1039,3d339192,3f100000,3c23d70a,3f256042,3f256301,646,144666
1040,3d32d4d4,3f100000,3c1374bc,3f256042,3f255f78,646,144084
1041,3d32031d,3f100000,3c23d70a,3f256042,3f2542a1,646,143209
1042,3d313166,3f100000,3c23d70a,3f256042,3f253197,645,142917
1043,3d3074a7,3f100000,3c1374bc,3f251eb8,3f25277f,645,143209
1044,3d2fb7e9,3f100000,3c1374bc,3f251eb8,3f25182a,645,143500
1045,3d2efb2b,3f100000,3c1374bc,3f251eb8,3f2508d4,645,144375
1046,3d2e3e6c,3f100000,3c1374bc,3f251eb8,3f24f97e,644,144666
1047,3d2d81ae,3f100000,3c1374bc,3f24dd2f,3f24e39b,644,144084
1048,3d2cc4f0,3f100000,3c1374bc,3f24dd2f,3f24d445,644,143792
1049,3d2c0831,3f100000,3c1374bc,3f24dd2f,3f24c4ef,644,143500
1050,3d2b606b,3f100000,3c03126f,3f24dd2f,3f24c31a,644,144375
1051,3d2aa3ad,3f100000,3c1374bc,3f24dd2f,3f24a7f8,643,143500
1052,3d29fbe7,3f100000,3c03126f,3f249ba6,3f249f94,643,144083
1053,3d293f29,3f100000,3c1374bc,3f249ba6,3f248472,643,144958
1054,3d289763,3f100000,3c03126f,3f249ba6,3f24829d,643,144375
1055,3d27ef9e,3f100000,3c03126f,3f249ba6,3f2474fb,642,145250
1056,3d2747d8,3f100000,3c03126f,3f245a1d,3f2460cb,642,169167
1057,3d26a012,3f100000,3c03126f,3f245a1d,3f24532a,642,172666
1058,3d25f84d,3f100000,3c03126f,3f245a1d,3f244588,642,170041
1059,3d255087,3f100000,3c03126f,3f245a1d,3f2437e6,641,144666
1060,3d24a8c1,3f100000,3c03126f,3f241893,3f2423b8,641,142916
1061,3d2415f4,3f100000,3be56042,3f241893,3f242396,641,144084
1062,3d236e2f,3f100000,3c03126f,3f241893,3f240a29,641,144667
1063,3d22db62,3f100000,3be56042,3f241893,3f240a07,641,144666
1064,3d22339c,3f100000,3c03126f,3f241893,3f23f099,640,143500
1065,3d21a0cf,3f100000,3be56042,3f23d70a,3f23e9ea,640,143792
1066,3d210e02,3f100000,3be56042,3f23d70a,3f23ddfd,640,145250
1067,3d207b35,3f100000,3be56042,3f23d70a,3f23d20f,640,145250
1068,3d1fe868,3f100000,3be56042,3f23d70a,3f23c622,640,143792
1069,3d1f559b,3f100000,3be56042,3f23d70a,3f23ba34,640,144084
1070,3d1ec2ce,3f100000,3be56042,3f23d70a,3f23ae47,639,143500
1071,3d1e44fa,3f100000,3bc49ba6,3f239581,3f23a94b,639,142917
1072,3d1db22d,3f100000,3be56042,3f239581,3f239192,639,142917
1073,3d1d1f60,3f100000,3be56042,3f239581,3f2385a5,639,144375
1074,3d1ca18c,3f100000,3bc49ba6,3f239581,3f238737,639,143792
1075,3d1c0ebf,3f100000,3be56042,3f239581,3f236f7e,638,144959
1076,3d1b90eb,3f100000,3bc49ba6,3f2353f8,3f236a83,638,145250
1077,3d1b1316,3f100000,3bc49ba6,3f2353f8,3f236049,638,143791
1078,3d1a8049,3f100000,3be56042,3f2353f8,3f234890,638,144375
1079,3d1a0275,3f100000,3bc49ba6,3f2353f8,3f234a23,638,144375
1080,3d1984a1,3f100000,3bc49ba6,3f2353f8,3f233fe9,638,143500
1081,3d1906cd,3f100000,3bc49ba6,3f2353f8,3f2335b0,638,143209
1082,3d1888f8,3f100000,3bc49ba6,3f2353f8,3f232b77,637,144083
1083,3d180b24,3f100000,3bc49ba6,3f23126f,3f231ab1,637,144375
1084,3d178d50,3f100000,3bc49ba6,3f23126f,3f231077,637,144375
1085,3d170f7c,3f100000,3bc49ba6,3f23126f,3f23063e,637,144375
1086,3d16a6a0,3f100000,3ba3d70a,3f23126f,3f230985,637,144375
1087,3d1628cc,3f100000,3bc49ba6,3f23126f,3f22f380,637,144666
1088,3d15aaf8,3f100000,3bc49ba6,3f23126f,3f22e947,636,143500
1089,3d15421c,3f100000,3ba3d70a,3f22d0e5,3f22e600,636,144667
1090,3d14d940,3f100000,3ba3d70a,3f22d0e5,3f22dd7b,636,143792
1091,3d145b6c,3f100000,3bc49ba6,3f22d0e5,3f22c775,636,144375
1092,3d13f291,3f100000,3ba3d70a,3f22d0e5,3f22cabc,636,145250
1093,3d1389b5,3f100000,3ba3d70a,3f22d0e5,3f22c237,636,143500
1094,3d130be1,3f100000,3bc49ba6,3f22d0e5,3f22ac32,635,143208
1095,3d12a305,3f100000,3ba3d70a,3f228f5c,3f22a8eb,635,143792
1096,3d123a2a,3f100000,3ba3d70a,3f228f5c,3f22a066,635,144375
1097,3d11d14e,3f100000,3ba3d70a,3f228f5c,3f2297e1,635,144667
1098,3d116873,3f100000,3ba3d70a,3f228f5c,3f228f5c,635,143500
1099,3d111490,3f100000,3b83126f,3f228f5c,3f229456,635,143500
1100,3d10abb4,3f100000,3ba3d70a,3f228f5c,3f228006,635,143500
1101,3d1042d9,3f100000,3ba3d70a,3f228f5c,3f227781,635,143792
1102,3d0fd9fd,3f100000,3ba3d70a,3f228f5c,3f226efc,635,143209
1103,3d0f7122,3f100000,3ba3d70a,3f228f5c,3f226677,634,142916
1104,3d0f1d3f,3f100000,3b83126f,3f224dd3,3f2264e4,634,143792
1105,3d0eb463,3f100000,3ba3d70a,3f224dd3,3f225094,634,144375
1106,3d0e6080,3f100000,3b83126f,3f224dd3,3f22558e,634,144083
1107,3d0df7a5,3f100000,3ba3d70a,3f224dd3,3f22413e,634,144375
1108,3d0da3c2,3f100000,3b83126f,3f224dd3,3f224638,634,143500
1109,3d0d3ae7,3f100000,3ba3d70a,3f224dd3,3f2231e8,634,143500
1110,3d0ce704,3f100000,3b83126f,3f224dd3,3f2236e2,634,144667
1111,3d0c7e28,3f100000,3ba3d70a,3f224dd3,3f222292,633,144083
1112,3d0c2a45,3f100000,3b83126f,3f220c4a,3f2220ff,633,143208
1113,3d0bd662,3f100000,3b83126f,3f220c4a,3f221a2e,633,144083
1114,3d0b8280,3f100000,3b83126f,3f220c4a,3f22135d,633,143208
1115,3d0b2e9d,3f100000,3b83126f,3f220c4a,3f220c8c,633,143500
