workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sync-cycle,baseline,3acc11385,4,16,,,,9254,255,5651
sync-cycle,baseline,3acc11385,4,17,,,,8720,187,6131
sync-cycle,baseline,3acc11385,4,18,,,,12417,334,7867
sync-cycle,baseline,3acc11385,4,19,,,,8803,184,5716
sync-cycle,implementation,b80dd453f,4,0,,,,8549,226,5811
sync-cycle,implementation,b80dd453f,4,1,,,,10717,203,7135
sync-cycle,implementation,b80dd453f,4,2,,,,8640,195,5305
sync-cycle,implementation,b80dd453f,4,3,,,,7944,186,5773
sync-cycle,implementation,b80dd453f,4,4,,,,7469,175,5190
sync-cycle,implementation,b80dd453f,4,5,,,,8396,233,5892
sync-cycle,implementation,b80dd453f,4,6,,,,7480,185,5187
sync-cycle,implementation,b80dd453f,4,7,,,,8083,170,5368
sync-cycle,implementation,b80dd453f,4,8,,,,8698,205,6065
sync-cycle,implementation,b80dd453f,4,9,,,,7509,175,5190
sync-cycle,implementation,b80dd453f,4,10,,,,7848,198,5782
sync-cycle,implementation,b80dd453f,4,11,,,,8420,225,5613
sync-cycle,implementation,b80dd453f,4,12,,,,8318,207,5498
sync-cycle,implementation,b80dd453f,4,13,,,,7690,191,5368
sync-cycle,implementation,b80dd453f,4,14,,,,7908,175,5271
sync-cycle,implementation,b80dd453f,4,15,,,,7633,177,5448
sync-cycle,implementation,b80dd453f,4,16,,,,8493,232,5411
sync-cycle,implementation,b80dd453f,4,17,,,,8316,205,5280
sync-cycle,implementation,b80dd453f,4,18,,,,7589,181,5247
sync-cycle,implementation,b80dd453f,4,19,,,,8142,202,5212
sequential,implementation,b80dd453f,5,0,6643512,6424873,19735,,,
sequential,implementation,b80dd453f,5,1,6998592,6604979,18035,,,
sequential,implementation,b80dd453f,5,2,6596690,6081466,18141,,,
sequential,implementation,b80dd453f,5,3,6641646,6068789,18273,,,
sequential,implementation,b80dd453f,5,4,7270133,6966137,18978,,,
sequential,implementation,b80dd453f,5,5,6892067,7690311,19479,,,
sequential,implementation,b80dd453f,5,6,7099256,7590383,19304,,,
sequential,implementation,b80dd453f,5,7,6635530,6085112,19357,,,
sequential,implementation,b80dd453f,5,8,6542394,6089829,17698,,,
sequential,implementation,b80dd453f,5,9,6305164,6028512,16879,,,
sequential,implementation,b80dd453f,5,10,6302581,6010632,17180,,,
sequential,implementation,b80dd453f,5,11,6307741,6350675,17597,,,
sequential,implementation,b80dd453f,5,12,6453828,5996609,18093,,,
sequential,implementation,b80dd453f,5,13,6306909,5989569,16942,,,
sequential,implementation,b80dd453f,5,14,6459762,6095069,19214,,,
sequential,implementation,b80dd453f,5,15,6307531,6042443,18073,,,
sequential,implementation,b80dd453f,5,16,6478961,6048644,17995,,,
sequential,implementation,b80dd453f,5,17,6358927,6042284,18960,,,
sequential,implementation,b80dd453f,5,18,6392843,6778302,18235,,,
sequential,implementation,b80dd453f,5,19,6405559,6450333,17969,,,
sequential,baseline,3acc11385,5,0,6317782,6023033,17823,,,
