sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
579,57860401,57860417,57863255,2854,16,2838,45000,51549,51563,500,500,-6563
580,57960447,57960463,57962261,1814,16,1798,45000,51563,51576,500,500,-6576
581,58060492,58060508,58062368,1876,16,1860,45000,51576,51590,500,500,-6590
582,58160538,58160554,58172276,11738,16,11722,45000,51590,51604,500,500,-6604
583,58260584,58260600,58272312,11728,16,11712,45000,51604,51617,500,500,-6617
584,58360631,58360647,58372308,11677,16,11661,45000,51617,51631,500,500,-6631
585,58460677,58460693,58472308,11631,16,11615,45000,51631,51644,500,500,-6644
586,58560723,58560739,58572313,11590,16,11574,45000,51644,51658,500,500,-6658
587,58660769,58660785,58672317,11548,16,11532,45000,51658,51671,500,500,-6671
588,58760816,58760832,58772321,11505,16,11489,45000,51671,51684,500,500,-6684
589,58860863,58860879,58872294,11431,16,11415,45000,51684,51698,500,500,-6698
590,58960909,58960925,58972321,11412,16,11396,45000,51698,51711,500,500,-6711
591,59060970,59060986,59072296,11326,16,11310,45000,51711,51724,500,500,-6724
592,59161016,59161033,59172293,11277,17,11260,45000,51724,51737,500,500,-6737
593,59261063,59261079,59272312,11249,16,11233,45000,51737,51750,500,500,-6750
594,59361109,59361125,59372306,11197,16,11181,45000,51750,51763,500,500,-6763
595,59461156,59461172,59472301,11145,16,11129,45000,51763,51776,500,500,-6776
596,59561203,59561219,59572297,11094,16,11078,45000,51776,51789,500,500,-6789
597,59661252,59661268,59672297,11045,16,11029,45000,51789,51802,500,500,-6802
598,59761300,59761316,59772282,10982,16,10966,45000,51802,51815,500,500,-6815
599,59861348,59861364,59872310,10962,16,10946,45000,51815,51827,500,500,-6827
600,59961413,59961429,59975175,13762,16,13746,45000,51827,51840,500,500,-6840
601,60061463,60061479,60072253,10790,16,10774,65000,51840,51853,500,500,13147
