index,input0_f32_bits,input1_f32_bits,input2_f32_bits,input3_f32_bits,expected_output_f32_bits,expected_actuator_permille,rknn_output_f32_bits,rknn_actuator_permille,wall_ns,device_us
8075,bf435bd5,3e9aa305,bf148e8a,3efced91,3d834f82,64,3d832000,64,137957,131
8076,bf94aa11,bf290f28,40fc84b6,3f2f5c29,00000000,0,00000000,0,136790,130
8077,bf305e5f,bf1668dc,c0d46dc6,3e9ba5e3,3f669d96,901,3f66a000,901,137374,130
8078,3d73b646,3f753d08,409dcd36,3eb7ced9,3ddcbce8,108,3ddca000,108,137665,130
8079,be245a1d,3f3d94af,c11e6f69,3eec8b44,3f800000,1000,3f800000,1000,137082,130
8080,4004a71e,3f33cb92,c0dff141,3f476c8b,3f800000,1000,3f800000,1000,136790,130
8081,3e3e9100,3f2dbcd3,c077afb8,3e828f5c,3f800000,1000,3f800000,1000,136207,129
8082,3f627286,3eb3851f,40a746dc,3ecf5c29,3f15c663,585,3f15c000,585,137374,130
8083,3faa31a5,3f383bcd,bf53c361,3f2b020c,3f800000,1000,3f800000,1000,136207,129
8084,4028850a,3f9c2c3d,bf86e2eb,3f1a1cac,3f800000,1000,3f800000,1000,136790,129
8085,bff0a527,3e89a858,40b1559b,3f7cac08,00000000,0,00000000,0,135624,129
8086,4012de01,3fab58e2,40831aa0,3f008312,3f800000,1000,3f800000,1000,135332,128
8087,bf992642,bd96d5d0,bfc39c0f,3e90e560,00000000,0,00000000,0,136499,129
8088,3dd6f545,3f691eb8,41054a8c,3e624dd3,00000000,0,00000000,0,136207,129
8089,be98bd66,3f3961e5,4116ae7d,3ba3d70a,00000000,0,00000000,0,136499,129
8090,3f663886,3f9d6738,410e07c8,3f4147ae,3f460364,773,3f45e000,773,200082,192
8091,4016f0ae,3fae432d,be178d50,3f3a1cac,3f800000,1000,3f800000,1000,144957,137
8092,bfe8cfc0,bf160831,40fa4a8c,3ed374bc,00000000,0,00000000,0,137957,130
8093,3fc9335d,3fa5786c,40cf4c98,3f441893,3f800000,1000,3f800000,1000,137373,130
8094,40156bba,3f5e68dc,4111ff2e,3f63d70a,3f800000,1000,3f800000,1000,136207,129
8095,c03921ab,be6a57a8,40c358e2,3f52f1aa,00000000,0,00000000,0,136499,130
8096,bec255b0,3fa84467,3f388ce7,3f158106,3f71260a,942,3f712000,942,136790,129
8097,bf317ebb,3eb142c4,3f17381d,3de147ae,00000000,0,00000000,0,136207,129
8098,3f9e238e,3eeba787,c0ac6320,3f0e5604,3f800000,1000,3f800000,1000,137082,131
8099,bddbea0c,bf1fe83e,c0129e1b,3c23d70a,3ec2645e,380,3ec28000,380,136790,130
8100,3f7e3001,3db5a1cb,409eb6ae,3eb645a2,3f089039,533,3f088000,533,136207,130
8101,402996fb,3fb74189,c105374c,3ef43958,3f800000,1000,3f800000,1000,135624,129
8102,bf4bb1af,3e53645a,4119346e,3ec72b02,00000000,0,00000000,0,136207,129
8103,3f54e8fb,3e42161e,bfd70d84,3f2e978d,3f800000,1000,3f800000,1000,138249,131
8104,3e53165d,3f25ff2e,c05f5f70,3c343958,3f800000,1000,3f800000,1000,136207,129
8105,3f1a07b3,beadf6fd,401cf0d8,3f760419,3ee9ed37,457,3ee9a000,456,137666,130
